Room Name,Room Code,Item Category,Item Type,Item Name,Barcode,Qty,Unit,Date Added,Barcode Status,Status,Prefix
Classroom,Room 101,Asset / Capex,AC,AC Daikin,SMDGAC1900005,1,unit,2020-12-14,Active,Baik,GAC
Classroom,Room 101,Asset / Capex,AC,AC Daikin,SMDGAC1900006,1,unit,2020-12-14,Active,Baik,GAC
Classroom,Room 101,Asset / Capex,Access Point,Access Point Unifi AP AC Pro,SMDIAP2100001,1,unit,2018-07-10,Active,Baik,IAP
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800188,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800197,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800208,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800210,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800243,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800244,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800245,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800246,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800247,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800248,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800249,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800251,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 101,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800252,1,unit,2020-12-14,Active,Baik,GKR
