"Sekolah Citra Kasih, Samarinda",,,,,,,,,,,
Room Name,Room Code,Item Category,Item Type,Item Name,Barcode,Qty,Unit,Date Added,Barcode Status,Status,Prefix
Classroom,Room 101,Asset / Capex,AC,AC Daikin,SMDGAC1900005,1,unit,2020-12-14,Active,Baik,GAC
Classroom,Room 101,Asset / Capex,AC,AC Daikin,SMDGAC1900006,1,unit,2020-12-14,Active,Baik,GAC
Classroom,Room 101,Asset / Capex,Access Point,Access Point Unifi AP AC Pro,SMDIAP2100001,1,unit,2018-07-10,Active,Baik,IAP
Classroom,Room 101,Asset / Capex,PC,PC Rakitan i5,SMDIPC0000042,1,unit,2020-12-02,Active,Baik,IPC
Classroom,Room 101,Asset / Capex,Projector,Projector Epson,SMDIPJ0000001,1,unit,2020-12-02,Active,Baik,IPJ
Classroom,Room 102,Asset / Capex,AC,AC Daikin,SMDGAC1900007,1,unit,2020-12-14,Active,Baik,GAC
Classroom,Room 102,Asset / Capex,AC,AC Daikin,SMDGAC1900008,1,unit,2020-12-14,Active,Baik,GAC
Classroom,Room 102,Asset / Capex,Access Point,Access Point Unifi AP AC Pro,SMDIAP2100003,1,unit,2018-07-10,Active,Baik,IAP
Classroom,Room 102,Asset / Capex,BenQ Interactive Digital,BenQ Interactive Digital,SMDISB2300001,1,unit,2022-07-28,Active,Baik,ISB
Classroom,Room 102,Asset / Capex,PC,PC - Intel Core I3,SMDIPC2100006,1,Set,2018-07-10,Active,Baik,IPC
Classroom,Room 102,Asset / Capex,Printer,Printer Epson Inkjet,SMDIPN2000004,1,unit,2020-12-02,Active,Baik,IPN
Classroom,Room 102,Asset / Capex,Projector,Projector Epson,SMDIPJ0000002,1,unit,2020-12-02,Active,Baik,IPJ
Classroom,Room 102,Asset / Capex,Smartboard Viewsonic,Viewsonic 75' + Floorstanding OXIMUS,IBS25040001,1,unit,2025-03-07,Active,Baik,IBS
Classroom,Room 103,Asset / Capex,AC,AC Daikin,SMDGAC1900009,1,unit,2020-12-14,Active,Baik,GAC
Classroom,Room 103,Asset / Capex,AC,AC Daikin,SMDGAC1900010,1,unit,2020-12-14,Active,Baik,GAC
